id,name,company,contract_period,rental_fee,benefit,product_id,rental_company_id
1,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),지니원(개인전용),36개월,"108,700","553,000",181,1
2,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),지니원(개인전용),48개월,"85,900","531,000",181,1
3,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),지니원(개인전용),60개월,"72,600","506,000",181,1
4,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"92,100","486,000",181,2
5,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"73,000","513,000",181,2
6,삼성 Crystal UHD 4K Smart TV 85인치 (KU85UD7050FXKR) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"61,900","549,000",181,2
7,더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),스마트렌탈,36개월,"27,900","139,000",182,3
8,더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),스마트렌탈,48개월,"21,900","146,000",182,3
9,더함 구글 OS QLED VRR 120Hz 50인치+이동형스탠드 화이트 (UA501Q-삼탠바이미),스마트렌탈,60개월,"18,900","157,000",182,3
10,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),지니원(개인전용),36개월,"59,500","294,000",183,1
11,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),지니원(개인전용),48개월,"47,000","281,000",183,1
12,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),지니원(개인전용),60개월,"39,800","267,000",183,1
13,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),LG헬로비전,36개월,"48,900","316,000",183,4
14,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),LG헬로비전,48개월,"37,900","327,000",183,4
15,삼성 UHD TV 65인치 스탠드형 (KU65UD7050FXKR),LG헬로비전,60개월,"31,900","344,000",183,4
16,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),렌티스,36개월,"63,900","225,000",184,5
17,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),렌티스,48개월,"50,900","239,000",184,5
18,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),렌티스,60개월,"42,600","250,000",184,5
19,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),스마트렌탈,36개월,"66,900","256,000",184,3
20,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),스마트렌탈,48개월,"52,900","270,000",184,3
21,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),스마트렌탈,60개월,"44,900","286,000",184,3
22,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),현대렌탈서비스,36개월,"63,900","279,000",184,2
23,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),현대렌탈서비스,48개월,"49,900","297,000",184,2
24,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),현대렌탈서비스,60개월,"41,900","306,000",184,2
25,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),BS ON,36개월,"61,500","326,000",184,6
26,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),BS ON,48개월,"49,000","346,000",184,6
27,삼성 더 세로 43인치 TV 이지무빙키트 화이트 (KQ43LSB05BFXKR),BS ON,60개월,"42,000","371,000",184,6
28,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),지니원(개인전용),36개월,"47,700","211,000",185,1
29,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),지니원(개인전용),48개월,"37,700","202,000",185,1
30,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),지니원(개인전용),60개월,"31,900","191,000",185,1
31,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),현대렌탈서비스,36개월,"38,100","198,000",185,2
32,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),현대렌탈서비스,48개월,"30,400","216,000",185,2
33,삼성 UHD TV 55인치 스탠드형 (KU55UD7050FXKR),현대렌탈서비스,60개월,"25,600","225,000",185,2
34,LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"111,600","495,000",186,2
35,LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"87,800","513,000",186,2
36,LG OLED 65인치 TV (OLED65B4S) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"74,300","549,000",186,2
37,LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),LG헬로비전,36개월,"66,900","433,000",187,4
38,LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),LG헬로비전,48개월,"50,900","439,000",187,4
39,LG UHD 75인치 (75UR831C0NA) (스탠드 or 벽걸이),LG헬로비전,60개월,"42,900","463,000",187,4
40,LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),LG헬로비전,36개월,"66,900","433,000",188,4
41,LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),LG헬로비전,48개월,"51,900","448,000",188,4
42,LG OLED 55인치 TV (OLED55B4K) (스탠드 or 벽걸이),LG헬로비전,60개월,"43,900","474,000",188,4
43,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,36개월,"47,900","183,000",189,3
44,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,48개월,"37,900","193,000",189,3
45,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),스마트렌탈,60개월,"31,900","203,000",189,3
46,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,36개월,"37,900","245,000",189,4
47,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,48개월,"31,900","275,000",189,4
48,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,60개월,"27,900","301,000",189,4
49,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"48,700","216,000",189,2
50,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"38,400","225,000",189,2
51,LG UHD TV 55인치 (55UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"32,600","243,000",189,2
52,삼성 2024 Crystal UHD TV 75인치 (스탠드 or 벽걸이형) (KU75UD7030FXKR),렌티스,36개월,"74,000","261,000",190,5
