id,name
1,2종 패키지
2,3종 패키지
3,CCTV
4,POS/키오스크
5,SK 매트리스
6,SK 파운데이션&프레임
7,TV
8,게이밍/고성능PC
9,공기청정기
10,국산차
11,김치냉장고
12,냉난방기
13,냉동고
14,냉장고
15,냉장고/냉동고
16,노트북/태블릿
17,돌/흙(숯)침대
18,드라이기
19,런닝머신
20,로봇청소기
21,매트
22,매트리스 케어형
23,매트리스/토퍼
24,모니터
25,모션베드
26,반려동물용품
27,반죽발효기
28,변기/전해수기
29,블렌더/그라인더
30,비데
31,사무용의자
32,살균/방역/향균
33,샤워기필터
34,세탁기
35,소파
36,수입차
37,식기세척기
38,식탁
39,신발관리기
40,악기
41,안마의자
42,안마의자/샴푸대
43,에어컨
44,에어프라이기
45,연수기/이온수기
46,와인셀러
47,음식물처리기
48,음파진동운동기
49,음향기기
50,의료기기
51,의류건조기
52,의류관리기
53,이미용기
54,인터넷
55,전기레인지
56,전기밥솥
57,전기스쿠터
58,전기오븐
59,전기오븐/그릴
60,전기자전거
61,전자레인지
62,전자칠판
63,정수기
64,제빙기
65,제빙기/빙수기
66,제습기
67,제습기/가습기
68,차량용품
69,청소기
70,초음파세척기
71,침대
72,침대 프레임
73,캠핑용품
74,커피머신
75,튀김기
76,프린터/복합기
77,프린터/스캐너
78,헬스기구
79,헬스케어
80,홈 사우나
81,홈보드
82,환기시스템
